id,filename,promoting,colour,process,year,designer,orientation
,GDA_Film_Society_A1_1-0011.jpg,Film Society,Purple,Letterpress,,,Portrait
,GDA_Film_Society_A1_1-0012.jpg,Film Society,Multicoloured,Offset,1967,,Portrait
,GDA_Film_Society_A1_1-0013.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0014.jpg,Film Society,Blue,Offset,,,Portrait
,GDA_Film_Society_A1_1-0015.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0016.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0017.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0018.jpg,Film Society,Pink,Screenprint,1971,,Portrait
,GDA_Film_Society_A1_1-0019.jpg,Film Society,Green,Offset,1963,,Landscape
,GDA_Film_Society_A1_1-0020.jpg,Film Society,Red,Offset,1963,,Landscape
,GDA_Film_Society_A1_1-0021.jpg,Film Society,Multicoloured,Offset,1964,,Portrait
,GDA_Film_Society_A1_1-0022.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0023.jpg,Film Society,Green,Screenprint,,,Portrait
