id,filename,title,promoting,colour,process,year,designer,
GDA_Exhibitions_A1_2-0065,GDA_Exhibitions_A1_2-0065.jpg,Visual Aspects of Science,Exhibition,Green,Offset, ,Larry Carter,
GDA_Exhibitions_A1_2-0066,GDA_Exhibitions_A1_2-0066.jpg,Graphic Design Diploma Exhibition,Exhibition,Black,Offset,1964,,
GDA_Exhibitions_A1_2-0067,GDA_Exhibitions_A1_2-0067.jpg,Modern French Tapestries,Exhibition,Multicoloured,Offset,,,
GDA_Exhibitions_A1_2-0068,GDA_Exhibitions_A1_2-0068.jpg,Degree Show,Exhibition,Blue,Offset,1981,,
GDA_Exhibitions_A1_2-0069,GDA_Exhibitions_A1_2-0069.jpg,Graphic Design Diploma Exhibition,Exhibition,Black,Offset,1961,Allan Marshall,
GDA_Exhibitions_A1_2-0070,GDA_Exhibitions_A1_2-0070.jpg,Degree Show,Exhibition,Blue,Offset,,Gary Rowland,
GDA_Exhibitions_A1_2-0071,GDA_Exhibitions_A1_2-0071.jpg,Graphic Design Diploma Exhibition,Exhibition,Red,Offset,1961,,
GDA_Exhibitions_A1_2-0072,GDA_Exhibitions_A1_2-0072.jpg,Break Through ,Exhibition,Multicoloured,Offset,,The Thunder Jockeys,
GDA_Exhibitions_A1_2-0073,GDA_Exhibitions_A1_2-0073.jpg,The Work of the RCA,Exhibition,Pink,,,,
GDA_Exhibitions_A1_2-0074,GDA_Exhibitions_A1_2-0074.jpg,Fly the Flag,Exhibition,Red,Screenprint,,,
GDA_Exhibitions_A1_2-0075,GDA_Exhibitions_A1_2-0075.jpg,Beyond Illustration,Exhibition,Yellow,Offset,1971,Dave Freeman,
GDA_Exhibitions_A1_2-0076,GDA_Exhibitions_A1_2-0076.jpg,Oberon Book Illustration Awards,Exhibition,Yellow,Digital,2010,Jack Gilby,
GDA_Exhibitions_A1_2-0078,GDA_Exhibitions_A1_2-0078.jpg,Still there will be Stories,Exhibition,Red,Offset,1971,,
GDA_Exhibitions_A1_2-0079,GDA_Exhibitions_A1_2-0079.jpg,Beyond Illustration,Exhibition,Image,Offset,1971,,
GDA_Exhibitions_A1_2-0080,GDA_Exhibitions_A1_2-0080.jpg,Design of the Times,Exhibition,Image,Offset,1996,Graphic Thought Facility / Russell Barns,
GDA_Exhibitions_A1_2-0083,GDA_Exhibitions_A1_2-0083.jpg,Fly the Flag,Exhibition,Blue,Screenprint,,,
GDA_Exhibitions_A1_2-0084,GDA_Exhibitions_A1_2-0084.jpg,Fly the Flag,Exhibition,White,Screenprint,1993,Al Fuller,
GDA_Exhibitions_A1_2-0085,GDA_Exhibitions_A1_2-0085.jpg,Degree Show,Exhibition,Green,Offset,1993,Barry Vaud,
GDA_Exhibitions_A1_2-0087,GDA_Exhibitions_A1_2-0087.jpg,Whats Yours?,Exhibition,Red,Offset,,,
GDA_Exhibitions_A1_2-0088,GDA_Exhibitions_A1_2-0088.jpg,Whats Yours?,Exhibition,Brown,Offset,,,
GDA_Exhibitions_A1_2-0089,GDA_Exhibitions_A1_2-0089.jpg,Exhibition of Paintings Sculpture Engraving and Graphic Design,Exhibition,Yellow,Offset,1952,Bailey,
GDA_Exhibitions_A1_2-0091,GDA_Exhibitions_A1_2-0091.jpg,An Exhibition by 2nd year Illustration Students,Exhibition,Yellow,Screenprint,,,
GDA_Exhibitions_A1_2-0092,GDA_Exhibitions_A1_2-0092.jpg,Architectural Ceramics,Exhibition,Gold,Screenprint,,John Watson,
GDA_Exhibitions_A1_2-0093,GDA_Exhibitions_A1_2-0093.jpg,Exhibition of the Graphic work of Milton Glaser,Exhibition,White,Screenprint,,,
GDA_Exhibitions_A1_2-0094,GDA_Exhibitions_A1_2-0094.jpg,Wish you were here,Exhibition,Image,Offset,1991,Ian Vickers,
GDA_Exhibitions_A1_2-0095,GDA_Exhibitions_A1_2-0095.jpg,Picture This,Exhibition,Red,Offset,,Angus Hyland,
GDA_Exhibitions_A1_2-0096,GDA_Exhibitions_A1_2-0096.jpg,Works for '94,Exhibition,Image,Offset,1994,,
GDA_Exhibitions_A1_2-0097,GDA_Exhibitions_A1_2-0097.jpg,Work in Progress,Exhibition,Pink,Offset,1999,Tickles,
